type,modified,language,license,rightsholder,datasetid,datasetname,institutioncode,basisofrecord,eventid,samplingprotocol,eventdate,eventremarks,locality,decimallatitude,decimallongitude,geodeticdatum,coordinateuncertaintyinmeters
Event,2017-01-23T11:22:11Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:1366:event-receiver-deployment,receiver deployment,2011-01-01T00:00:00Z/2012-06-29T00:00:00Z,location name: Nevengeul Oudenaarde (Opwaarts) | location description: NA,Nevengeul Oudenaarde (opwaarts),50.84957,3.62014,WGS84,30
Event,2016-10-18T14:05:07Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:1367:event-receiver-deployment,receiver deployment,2011-01-01T00:00:00Z/2012-01-25T00:00:00Z,location name: Nevengeul Asper (Afwaarts) | location description: NA,ngAspsa,50.91854,3.66624,WGS84,30
Event,2016-10-18T15:04:08Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:1368:event-receiver-deployment,receiver deployment,2011-01-01T00:00:00Z/2012-01-25T00:00:00Z,location name: Nevengeul Asper (Opwaarts) | location description: NA,ngAspso,50.91729,3.6696,WGS84,30
Event,2016-10-18T14:11:28Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:1369:event-receiver-deployment,receiver deployment,2011-01-01T00:00:00Z/2012-01-25T00:00:00Z,location name: Nevengeul Asper (Midden) | location description: NA,ngAspm,50.91786,3.66803,WGS84,30
Event,2016-10-18T13:39:00Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:1370:event-receiver-deployment,receiver deployment,2011-01-01T00:00:00Z/2012-01-06T00:00:00Z,location name: Nevengeul Oudenaarde (Midden) | location description: NA,ngOudm,50.85001,3.62065,WGS84,30
Event,2016-10-18T13:12:06Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:1371:event-receiver-deployment,receiver deployment,2011-01-01T00:00:00Z/2012-01-26T00:00:00Z,location name: Nevengeul Oudenaarde (Afwaarts) | location description: NA,ngOudsa,50.85077,3.62141,WGS84,30
Event,2017-01-23T11:22:42Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:1372:event-receiver-deployment,receiver deployment,2011-01-01T00:00:00Z/2012-06-29T00:00:00Z,location name: Maarkebeek - onder eerste knelpunt | location description: NA,Maarkebeek - onder eerste knelpunt,50.83458,3.59199,WGS84,30
Event,2016-10-17T21:32:38Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2297:event-receiver-deployment,receiver deployment,2011-01-01T00:00:00Z/2012-02-07T00:00:00Z,location name: Zuidervak Ringvaart - Brug Merelbeke | location description: NA,RingvZ,51.00708,3.75124,WGS84,30
Event,2016-10-17T20:37:17Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2298:event-receiver-deployment,receiver deployment,2012-02-07T00:00:00Z/2012-03-01T00:00:00Z,location name: Zuidervak Ringvaart - Brug Merelbeke | location description: NA,RingvZ,51.00708,3.75124,WGS84,30
Event,2016-10-17T20:47:31Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2299:event-receiver-deployment,receiver deployment,2012-03-01T00:00:00Z/2012-06-30T00:00:00Z,location name: Zuidervak Ringvaart - Brug Merelbeke | location description: NA,RingvZ,51.00708,3.75124,WGS84,30
Event,2016-10-17T21:33:23Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2301:event-receiver-deployment,receiver deployment,2011-01-01T00:00:00Z/2012-02-28T00:00:00Z,location name: Tijarm - Begin Tijarm | location description: NA,T0,51.00515,3.74608,WGS84,30
Event,2016-10-17T21:17:34Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2302:event-receiver-deployment,receiver deployment,2012-02-28T00:00:00Z/2012-06-30T00:00:00Z,location name: Tijarm - Begin Tijarm | location description: NA,T0,51.00515,3.74608,WGS84,30
Event,2016-10-17T21:20:58Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2304:event-receiver-deployment,receiver deployment,2011-01-01T00:00:00Z/2012-03-01T00:00:00Z,location name: Zeeschelde - Staketsels Melle | location description: NA,stMel,51.00436,3.80541,WGS84,30
Event,2016-10-17T21:31:34Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2305:event-receiver-deployment,receiver deployment,2012-03-01T00:00:00Z/2012-06-30T00:00:00Z,location name: Zeeschelde - Staketsels Melle | location description: NA,stMel,51.00436,3.80541,WGS84,30
Event,2016-10-17T21:36:22Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2307:event-receiver-deployment,receiver deployment,2011-01-01T00:00:00Z/2012-02-29T00:00:00Z,location name: Noordervak Ringvaart - Stroomaf Complex Evergem | location description: NA,RingvN,51.10425,3.71157,WGS84,30
Event,2016-10-17T21:38:38Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2308:event-receiver-deployment,receiver deployment,2012-02-29T00:00:00Z/2012-06-30T00:00:00Z,location name: Noordervak Ringvaart - Stroomaf Complex Evergem | location description: NA,RingvN,51.10425,3.71157,WGS84,30
Event,2016-10-17T21:43:35Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2310:event-receiver-deployment,receiver deployment,2012-01-06T00:00:00Z/2012-01-25T00:00:00Z,location name: Bovenschelde - Stroomop Stuw Tijarm | location description: NA,Tsost,50.99154,3.72347,WGS84,30
Event,2016-10-17T21:43:42Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2311:event-receiver-deployment,receiver deployment,2012-01-25T00:00:00Z/2012-02-07T00:00:00Z,location name: Bovenschelde - Stroomop Stuw Tijarm | location description: NA,Tsost,50.99154,3.72347,WGS84,30
Event,2016-10-17T21:43:42Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2312:event-receiver-deployment,receiver deployment,2012-02-07T00:00:00Z/2012-02-28T00:00:00Z,location name: Bovenschelde - Stroomop Stuw Tijarm | location description: NA,Tsost,50.99154,3.72347,WGS84,30
Event,2017-01-16T11:59:19Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2313:event-receiver-deployment,receiver deployment,2012-02-28T00:00:00Z/2012-06-29T20:00:00Z,location name: Bovenschelde - Stroomop Stuw Tijarm | location description: NA,Tsost,50.99154,3.72347,WGS84,30
Event,2016-10-17T21:52:10Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2315:event-receiver-deployment,receiver deployment,2012-01-04T00:00:00Z/2012-01-06T00:00:00Z,location name: Bovenschelde - Kop Sluismuur Asper | location description: NA,slAsp,50.91737,3.66569,WGS84,30
Event,2016-10-17T21:52:10Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2316:event-receiver-deployment,receiver deployment,2012-01-06T00:00:00Z/2012-01-25T00:00:00Z,location name: Bovenschelde - Kop Sluismuur Asper | location description: NA,slAsp,50.91737,3.66569,WGS84,30
Event,2016-10-17T21:52:11Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2317:event-receiver-deployment,receiver deployment,2012-01-25T00:00:00Z/2012-02-06T00:00:00Z,location name: Bovenschelde - Kop Sluismuur Asper | location description: NA,slAsp,50.91737,3.66569,WGS84,30
Event,2016-10-17T21:52:12Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2318:event-receiver-deployment,receiver deployment,2012-02-06T00:00:00Z/2012-02-28T00:00:00Z,location name: Bovenschelde - Kop Sluismuur Asper | location description: NA,slAsp,50.91737,3.66569,WGS84,30
Event,2016-10-17T21:54:00Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2319:event-receiver-deployment,receiver deployment,2012-02-28T00:00:00Z/2012-06-30T00:00:00Z,location name: Bovenschelde - Kop Sluismuur Asper | location description: NA,slAsp,50.91737,3.66569,WGS84,30
Event,2016-10-17T21:57:07Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2321:event-receiver-deployment,receiver deployment,2012-01-04T00:00:00Z/2012-01-06T00:00:00Z,location name: Bovenschelde - Stuwgeul Asper | location description: NA,stgAsp,51.00436,3.80541,WGS84,30
Event,2016-10-17T21:57:07Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2322:event-receiver-deployment,receiver deployment,2012-01-06T00:00:00Z/2012-01-25T00:00:00Z,location name: Bovenschelde - Stuwgeul Asper | location description: NA,stgAsp,51.00436,3.80541,WGS84,30
Event,2016-10-17T21:57:12Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2323:event-receiver-deployment,receiver deployment,2012-01-25T00:00:00Z/2012-02-06T00:00:00Z,location name: Bovenschelde - Stuwgeul Asper | location description: NA,stgAsp,51.00436,3.80541,WGS84,30
Event,2016-10-17T21:57:15Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2324:event-receiver-deployment,receiver deployment,2012-02-06T00:00:00Z/2012-02-28T00:00:00Z,location name: Bovenschelde - Stuwgeul Asper | location description: NA,stgAsp,51.00436,3.80541,WGS84,30
Event,2016-10-17T21:59:43Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2325:event-receiver-deployment,receiver deployment,2012-02-28T00:00:00Z/2012-06-30T00:00:00Z,location name: Bovenschelde - Stuwgeul Asper | location description: NA,stgAsp,51.00436,3.80541,WGS84,30
Event,2017-10-18T08:33:48Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2327:event-receiver-deployment,receiver deployment,2012-01-04T10:01:00Z/2012-01-06T00:00:00Z,location name: Bovenschelde - Stroomop Complex Asper | location description: NA,soAsp,50.91475,3.67292,WGS84,30
Event,2016-10-17T22:03:21Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2328:event-receiver-deployment,receiver deployment,2012-01-06T00:00:00Z/2012-01-25T00:00:00Z,location name: Bovenschelde - Stroomop Complex Asper | location description: NA,soAsp,50.91475,3.67292,WGS84,30
Event,2016-10-17T22:03:23Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2329:event-receiver-deployment,receiver deployment,2012-01-25T00:00:00Z/2012-02-06T00:00:00Z,location name: Bovenschelde - Stroomop Complex Asper | location description: NA,soAsp,50.91475,3.67292,WGS84,30
Event,2016-10-17T22:03:23Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2330:event-receiver-deployment,receiver deployment,2012-02-06T00:00:00Z/2012-02-29T00:00:00Z,location name: Bovenschelde - Stroomop Complex Asper | location description: NA,soAsp,50.91475,3.67292,WGS84,30
Event,2016-10-17T22:05:23Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2331:event-receiver-deployment,receiver deployment,2012-02-29T00:00:00Z/2012-06-30T00:00:00Z,location name: Bovenschelde - Stroomop Complex Asper | location description: NA,soAsp,50.91475,3.67292,WGS84,30
Event,2016-10-17T22:08:27Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2333:event-receiver-deployment,receiver deployment,2012-01-04T00:00:00Z/2012-01-26T00:00:00Z,location name: Bovenschelde - Kop Sluismuur Oudenaarde | location description: NA,sIOud,50.85112,3.61988,WGS84,30
Event,2016-10-17T22:08:27Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2334:event-receiver-deployment,receiver deployment,2012-01-26T00:00:00Z/2012-02-29T00:00:00Z,location name: Bovenschelde - Kop Sluismuur Oudenaarde | location description: NA,sIOud,50.85112,3.61988,WGS84,30
Event,2016-10-17T22:08:27Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2335:event-receiver-deployment,receiver deployment,2012-02-29T00:00:00Z/2012-07-29T00:00:00Z,location name: Bovenschelde - Kop Sluismuur Oudenaarde | location description: NA,sIOud,50.85112,3.61988,WGS84,30
Event,2016-10-17T22:16:40Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2337:event-receiver-deployment,receiver deployment,2012-01-04T00:00:00Z/2012-01-26T00:00:00Z,location name: Bovenschelde - Stuwgeul Oudenaarde | location description: NA,stgOud,50.85236,3.62237,WGS84,30
Event,2016-10-17T22:16:43Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2338:event-receiver-deployment,receiver deployment,2012-01-26T00:00:00Z/2012-02-29T00:00:00Z,location name: Bovenschelde - Stuwgeul Oudenaarde | location description: NA,stgOud,50.85236,3.62237,WGS84,30
Event,2016-10-17T22:19:16Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2339:event-receiver-deployment,receiver deployment,2012-02-29T00:00:00Z/2012-06-30T00:00:00Z,location name: Bovenschelde - Stuwgeul Oudenaarde | location description: NA,stgOud,50.85236,3.62237,WGS84,30
Event,2016-10-17T22:24:20Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2341:event-receiver-deployment,receiver deployment,2012-01-04T00:00:00Z/2012-01-10T00:00:00Z,location name: Bovenschelde - Stroomop Complex Oudenaarde | location description: NA,soOud,50.84844,3.61668,WGS84,30
Event,2016-10-17T22:24:21Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2342:event-receiver-deployment,receiver deployment,2012-01-10T00:00:00Z/2012-01-26T00:00:00Z,location name: Bovenschelde - Stroomop Complex Oudenaarde | location description: NA,soOud,50.84844,3.61668,WGS84,30
Event,2016-10-17T22:24:22Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2343:event-receiver-deployment,receiver deployment,2012-01-26T00:00:00Z/2012-02-29T00:00:00Z,location name: Bovenschelde - Stroomop Complex Oudenaarde | location description: NA,soOud,50.84844,3.61668,WGS84,30
Event,2016-10-17T22:26:27Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2344:event-receiver-deployment,receiver deployment,2012-02-29T00:00:00Z/2012-06-30T00:00:00Z,location name: Bovenschelde - Stroomop Complex Oudenaarde | location description: NA,soOud,50.84844,3.61668,WGS84,30
Event,2016-10-17T22:30:36Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2346:event-receiver-deployment,receiver deployment,2011-01-01T00:00:00Z/2012-01-26T00:00:00Z,location name: Zwalm - Stroomaf TerBiest - Schuisplanklos | location description: NA,saTBZwa,50.88888,3.67777,WGS84,30
Event,2016-10-17T22:30:36Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2347:event-receiver-deployment,receiver deployment,2012-01-26T00:00:00Z/2012-02-29T00:00:00Z,location name: Zwalm - Stroomaf TerBiest - Schuisplanklos | location description: NA,saTBZwa,50.88888,3.67777,WGS84,30
Event,2016-10-17T22:33:47Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2348:event-receiver-deployment,receiver deployment,2012-02-29T00:00:00Z/2012-06-30T00:00:00Z,location name: Zwalm - Stroomaf TerBiest - Schuisplanklos | location description: NA,saTBZwa,50.88888,3.67777,WGS84,30
Event,2016-10-18T12:20:51Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2350:event-receiver-deployment,receiver deployment,2012-02-06T00:00:00Z/2012-03-01T00:00:00Z,location name: Bovenschelde - Stuwgeul Kerkhove | location description: NA,stgKer,50.79177,3.49674,WGS84,30
Event,2016-10-18T12:21:23Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2351:event-receiver-deployment,receiver deployment,2012-03-01T00:00:00Z/2012-09-03T00:00:00Z,location name: Bovenschelde - Stuwgeul Kerkhove | location description: NA,stgKer,50.79177,3.49674,WGS84,30
Event,2016-10-18T12:26:12Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2353:event-receiver-deployment,receiver deployment,2011-01-01T00:00:00Z/2012-02-28T00:00:00Z,location name: Westervak Ringvaart - Stroomop v d 2 Leiemondingen (Watersportbaan) | location description: NA,RingvWn,51.05351,3.67147,WGS84,30
Event,2016-10-18T12:27:30Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2354:event-receiver-deployment,receiver deployment,2012-02-28T00:00:00Z/2012-06-30T00:00:00Z,location name: Westervak Ringvaart - Stroomop v d 2 Leiemondingen (Watersportbaan) | location description: NA,RingvWn,51.05351,3.67147,WGS84,30
Event,2016-10-18T13:04:36Z,en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,"",Acoustic telemetry data of fish in the Scheldt river basin and the Belgian Part of the North Sea (BPNS),INBO,MachineObservation,etn:bovenschelde:2356:event-receiver-deployment,receiver deployment,2011-01-01T00:00:00Z/2012-02-29T00:00:00Z,location name: Kanaal Gent-Oostende - Lovendegem | location description: NA,kGenOst,51.0915,3.6146,WGS84,30
